s_1,f_1,product
0,0,[1]
10,2,[1]
20,4,[1]
26,2,[1]
30,6,[1]
34,2,[1]
36,4,[1]
40,8,[1]
42,2,"[0, 1]"
44,4,[1]
46,6,[1]
50,10,[1]
52,4,[1]
54,6,[1]
56,8,[1]
57,3,[1]
58,2,[1]
60,12,[1]
62,6,[1]
64,8,[1]
66,10,[1]
67,5,[1]
68,4,[2]
68,4,[1]
70,14,[1]
72,8,[1]
74,10,[1]
75,5,"[1, 1]"
76,12,[1]
77,7,[1]
78,6,[2]
78,6,[1]
80,16,[1]
81,3,"[1, 0]"
81,3,"[0, 2]"
82,2,[2]
82,10,[1]
83,5,[1]
84,12,[1]
85,7,"[1, 1]"
86,14,[1]
87,9,[1]
88,8,[2]
88,8,[1]
90,2,"[0, 2]"
90,18,[1]
91,5,"[1, 0]"
91,5,"[0, 2]"
92,4,[1]
92,12,[1]
93,7,[1]
94,14,[1]
95,9,"[1, 1]"
96,4,"[0, 1]"
96,16,[1]
97,11,[1]
98,10,[2]
98,10,[1]
99,5,"[1, 0]"
100,20,[1]
101,7,"[1, 0]"
101,7,"[0, 2]"
102,6,[1]
102,14,[1]
103,9,[1]
104,16,[1]
105,3,[1]
105,11,"[1, 1]"
106,2,"[1, 0]"
106,2,"[0, 1]"
106,6,"[0, 1]"
106,18,[1]
107,5,[2]
107,13,[1]
108,12,[2]
108,12,[1]
109,7,"[1, 0]"
110,2,[2]
110,22,[1]
111,9,"[1, 0]"
111,9,"[0, 2]"
112,4,"[0, 1, 2]"
112,8,[1]
112,16,[1]
113,11,[1]
114,2,"[0, 1]"
114,18,[1]
115,5,[1]
115,5,[1]
115,13,"[1, 1]"
116,4,"[1, 0]"
116,4,"[0, 2]"
116,4,"[0, 2]"
116,8,"[0, 1]"
116,20,[1]
117,3,[2]
117,7,[2]
117,15,[1]
118,2,[2]
118,14,[2]
118,14,[1]
119,9,"[1, 0]"
120,24,[1]
121,11,"[1, 0]"
121,11,"[0, 2]"
122,2,[2]
122,2,[1]
122,6,"[1, 2]"
122,10,[1]
122,18,[1]
123,13,[1]
124,20,[1]
125,7,[1]
125,7,[1]
125,15,"[1, 1]"
126,2,"[0, 2]"
126,6,[1]
126,6,[1]
126,10,"[0, 1]"
126,22,[1]
127,5,"[1, 0]"
127,9,[2]
127,17,[1]
128,16,[2]
128,16,[1]
129,3,[2]
129,11,"[1, 0]"
130,2,"[0, 1]"
130,6,[1]
130,26,[1]
131,13,"[1, 0]"
131,13,"[0, 2]"
132,8,"[1, 2]"
132,12,[1]
132,20,[1]
133,3,[1]
133,15,[1]
134,22,[1]
135,9,[1]
135,9,[1]
135,17,"[1, 1]"
136,8,[1]
136,12,"[0, 1]"
136,24,[1]
137,11,[2]
137,19,[1]
138,2,"[0, 0, 1]"
138,6,[2]
138,18,[2]
138,18,[1]
139,5,[2]
139,13,"[1, 0]"
140,4,"[0, 1]"
140,4,"[0, 1]"
140,8,[1]
140,28,[1]
141,15,"[1, 0]"
141,15,"[0, 2]"
142,10,"[1, 2]"
142,14,[1]
142,22,[1]
143,5,"[1, 0]"
143,17,[1]
144,4,[1]
144,24,[1]
145,11,[1]
145,11,[1]
145,19,"[1, 1]"
146,10,[1]
146,14,"[0, 1]"
146,26,[1]
147,13,[2]
147,21,[1]
148,8,[2]
148,20,[2]
148,20,[1]
149,7,[2]
149,15,"[1, 0]"
150,6,"[0, 0, 1]"
150,10,[1]
150,30,[1]
151,17,"[1, 0]"
151,17,"[0, 2]"
152,12,"[1, 2]"
152,16,[1]
152,24,[1]
153,3,[1]
153,7,"[1, 0]"
153,7,"[0, 1]"
153,19,[1]
154,2,[1]
154,6,[1]
154,26,[1]
155,13,[1]
155,13,[1]
155,21,"[1, 1]"
156,12,[1]
156,16,"[0, 1]"
157,15,[2]
157,23,[1]
158,10,[2]
158,22,[2]
158,22,[1]
159,5,[1]
159,9,[2]
159,17,"[1, 0]"
160,4,"[0, 2, 1]"
160,8,"[0, 1]"
160,12,[1]
161,7,"[1, 0]"
161,19,"[1, 0]"
161,19,"[0, 2]"
162,14,"[1, 2]"
162,18,[1]
163,5,[2]
163,5,[2]
163,9,[1]
164,4,"[0, 1]"
164,8,[1]
165,15,[1]
165,15,[1]
166,14,[1]
167,5,"[0, 1, 2]"
168,12,[2]
169,7,"[0, 1]"
169,11,[2]
170,6,"[1, 1, 0]"
170,10,"[0, 1]"
171,9,"[1, 0, 1]"
172,8,[1]
173,7,"[0, 2]"
173,7,"[0, 1]"
174,6,"[0, 1]"
174,6,"[0, 1]"
177,3,"[1, 0]"
177,3,"[0, 2]"
178,2,"[0, 1]"
